customer_id,fico_score,fico_rating,default
8153374,605,4,0
7442532,572,4,1
2256073,602,4,0
4885975,612,3,0
4700614,631,3,0
4661159,697,2,0
8291909,722,1,0
4616950,545,5,1
3395789,676,2,0
4045948,447,5,0
1946105,640,3,1
7026356,636,3,0
3555143,527,5,0
1852525,638,3,0
2436643,616,3,0
1089094,644,3,0
2618670,606,4,0
4841253,727,1,0
4522930,627,3,1
2999053,581,4,0
2723215,667,2,0
1467134,480,5,1
4754857,677,2,0
4039149,726,1,0
8521446,596,4,0
1279600,605,4,0
7269476,636,3,0
2289318,642,3,0
6552907,596,4,0
8753437,667,2,0
4320547,580,4,0
5451200,697,2,0
6325220,542,5,1
6037431,668,2,0
3258404,787,1,0
4529904,673,2,0
4756862,609,3,0
2671353,541,5,1
8919468,560,4,0
7240623,607,4,1
7096072,631,3,0
6645305,746,1,0
8551890,530,5,0
7602707,615,3,0
4951943,552,5,1
6288882,606,4,0
4382360,599,4,0
4144487,679,2,0
1629547,603,4,0
2948051,764,1,0
1237675,736,1,0
7125694,751,1,0
1113748,610,3,0
2512418,663,2,0
7678486,737,1,0
5161636,629,3,0
7365670,689,2,0
6381573,587,4,1
3238472,692,2,1
3252127,706,2,0
8571897,515,5,0
1444612,702,2,0
6562873,638,3,0
6714332,612,3,0
3087069,583,4,0
8010926,720,1,0
6551322,607,4,0
3672265,750,1,0
3068840,662,2,0
6031818,563,4,1
6410292,611,3,0
2195286,754,1,0
2483066,663,2,0
8380627,709,1,0
8926016,576,4,1
1729821,611,3,1
8935419,669,2,0
7713931,612,3,1
2593152,720,1,0
4265770,589,4,0
6694674,578,4,0
2878530,652,3,0
1760607,687,2,0
1083392,633,3,0
2548560,569,4,1
7517038,657,2,0
3279204,754,1,0
7787477,642,3,0
3467139,708,1,0
8989969,627,3,1
4618641,745,1,0
3879675,685,2,0
2338819,679,2,0
8127530,697,2,0
2559477,603,4,1
5699479,555,5,1
4675595,687,2,0
2061413,625,3,0
7431458,581,4,0
1638898,633,3,0
8711328,622,3,1
3866572,610,3,0
6610306,584,4,1
3291949,628,3,0
5500676,724,1,0
6789710,620,3,0
5006585,563,4,0
7586510,678,2,0
3578717,602,4,0
7772698,672,2,0
7362864,724,1,0
4085765,626,3,0
3700938,749,1,0
2691552,582,4,1
4418770,693,2,0
4240531,632,3,0
